sim_step,Δ,δ,c,per_infected,βd,βₑ,βᵢ,γₑ,γₐ,avg_he_size,avg_degree,avg_direct_contacts,new_users,moved_users,perc_infected_users,perc_infected_locations
63,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.07482993197278912,0.8043478260869565,200.0,0,8,0.05138339920948617,0.0
64,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.07722007722007722,0.8300395256916996,200.5,1,19,0.05138339920948617,0.0
65,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09284794999080713,0.9980237154150198,100.75,2,106,0.04940711462450593,0.0
66,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09413495127780842,1.0118577075098814,101.25,2,121,0.045454545454545456,0.0
67,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09211252068394926,0.9901185770750988,Inf,0,111,0.045454545454545456,0.0
68,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.07887479316050745,0.8478260869565217,Inf,0,24,0.045454545454545456,0.0
69,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.075565361279647,0.8122529644268774,Inf,0,8,0.043478260869565216,0.0
70,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.07722007722007722,0.8300395256916996,Inf,0,16,0.041501976284584984,0.0
71,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08383894098179813,0.9011857707509882,Inf,0,56,0.041501976284584984,0.0
72,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08530979959551388,0.9169960474308301,Inf,0,60,0.041501976284584984,0.0
73,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09045780474351903,0.9723320158102767,67.66666666666667,1,97,0.039525691699604744,0.0
74,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08089722375436662,0.8695652173913043,101.5,0,37,0.039525691699604744,0.0
75,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.07519764662621806,0.808300395256917,203.5,1,2,0.039525691699604744,0.0
76,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.07905865048722191,0.849802371541502,203.5,0,28,0.039525691699604744,0.0
77,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08439051296194153,0.9071146245059288,203.5,0,56,0.039525691699604744,0.0
78,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08935466078323222,0.9604743083003953,68.0,1,84,0.039525691699604744,0.0
79,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09523809523809523,1.023715415019763,102.75,3,117,0.039525691699604744,0.0
80,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08163265306122448,0.8774703557312253,103.0,1,34,0.037549407114624504,0.0
81,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.07648464791321934,0.8221343873517787,103.0,0,5,0.037549407114624504,0.0
82,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.07961022246736532,0.8557312252964426,103.0,0,22,0.037549407114624504,0.0
83,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08678065820922964,0.932806324110672,207.0,2,61,0.037549407114624504,0.0
84,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09137709137709138,0.9822134387351779,104.0,2,92,0.03557312252964427,0.0
85,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10075381503952932,1.08300395256917,29.857142857142858,2,142,0.03557312252964427,0.0
86,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08622908622908623,0.9268774703557312,26.125,0,56,0.03557312252964427,0.0
87,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.07740393454679169,0.8320158102766798,34.833333333333336,0,3,0.03557312252964427,0.0
88,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08071336642765214,0.8675889328063241,41.9,1,27,0.03359683794466403,0.0
89,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08917080345651775,0.958498023715415,35.083333333333336,2,71,0.03359683794466403,0.0
90,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09615738187166759,1.033596837944664,211.5,2,105,0.03359683794466403,0.0
91,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10296010296010295,1.1067193675889329,53.625,6,136,0.03557312252964427,0.0
92,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08604522890237176,0.924901185770751,42.9,0,42,0.03557312252964427,0.0
93,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.07961022246736532,0.8557312252964426,53.625,0,4,0.03162055335968379,0.0
94,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08347122632836919,0.8972332015810277,43.1,2,28,0.03359683794466403,0.0
95,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09376723662437948,1.007905138339921,30.928571428571427,2,79,0.03359683794466403,0.0
