sim_step,Δ,δ,c,per_infected,βd,βₑ,βᵢ,γₑ,γₐ,avg_he_size,avg_degree,avg_direct_contacts,new_users,moved_users,perc_infected_users,perc_infected_locations
121,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10233137568962448,1.0667903525046383,59.0,0,110,0.061224489795918366,0.0014237408791599928
122,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09200925431571454,0.9591836734693877,39.416666666666664,1,46,0.061224489795918366,0.001601708489054992
123,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08506851752980958,0.8868274582560297,59.125,0,6,0.059369202226345084,0.0019576437088449903
124,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08809396689802455,0.9183673469387755,59.125,0,25,0.059369202226345084,0.001601708489054992
125,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09539063890371953,0.9944341372912802,47.4,1,64,0.061224489795918366,0.001601708489054992
126,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.1005516995906745,1.0482374768089053,47.7,3,97,0.061224489795918366,0.001779676098949991
127,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10873820964584445,1.1335807050092765,29.9375,2,143,0.059369202226345084,0.001601708489054992
128,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09307705997508453,0.9703153988868275,47.9,0,48,0.055658627087198514,0.001601708489054992
129,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08613632318917958,0.8979591836734694,48.0,1,4,0.05194805194805195,0.001779676098949991
130,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08951770777718455,0.9332096474953617,48.0,0,26,0.05194805194805195,0.0014237408791599928
131,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09592454173340452,1.0,48.0,0,64,0.04823747680890538,0.001601708489054992
132,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.1000177967609895,1.0426716141001855,60.125,1,88,0.04638218923933209,0.001779676098949991
133,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.11283146467342943,1.176252319109462,34.42857142857143,1,163,0.04638218923933209,0.001601708489054992
134,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09307705997508453,0.9703153988868275,34.42857142857143,0,44,0.05380333951762523,0.001601708489054992
135,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08702616123865456,0.9072356215213359,34.42857142857143,0,7,0.055658627087198514,0.0014237408791599928
136,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08880583733760455,0.9257884972170687,30.125,0,20,0.05380333951762523,0.001601708489054992
137,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09770421783235451,1.018552875695733,30.1875,1,71,0.05009276437847866,0.0012457732692649937
138,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10535682505783947,1.098330241187384,30.5,5,108,0.04823747680890538,0.0014237408791599928
139,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.1188823634098594,1.2393320964749537,22.318181818181817,3,188,0.05194805194805195,0.0012457732692649937
140,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10962804769531945,1.1428571428571428,30.8125,2,130,0.04823747680890538,0.0014237408791599928
141,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08880583733760455,0.9257884972170687,49.3,0,6,0.04823747680890538,0.001779676098949991
142,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09307705997508453,0.9703153988868275,41.083333333333336,0,30,0.05009276437847866,0.0019576437088449903
143,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10909414486563446,1.137291280148423,41.25,2,125,0.05194805194805195,0.0019576437088449903
144,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10962804769531945,1.1428571428571428,35.5,2,125,0.05009276437847866,0.001601708489054992
145,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.11710268731090942,1.2207792207792207,31.0625,0,172,0.05194805194805195,0.0014237408791599928
146,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10393308417867948,1.0834879406307978,41.416666666666664,0,92,0.05194805194805195,0.0014237408791599928
147,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08987364299697455,0.9369202226345084,49.7,0,10,0.05009276437847866,0.0012457732692649937
148,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09343299519487454,0.974025974025974,49.7,0,30,0.05009276437847866,0.0012457732692649937
149,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10998398291510945,1.1465677179962894,49.8,1,129,0.05009276437847866,0.001601708489054992
150,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.11211959423384944,1.1688311688311688,50.1,3,136,0.05009276437847866,0.0014237408791599928
151,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10500088983804948,1.0946196660482375,62.625,0,102,0.05194805194805195,0.001779676098949991
152,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09254315714539954,0.9647495361781077,62.75,1,20,0.055658627087198514,0.001779676098949991
153,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08969567538707955,0.935064935064935,62.75,0,2,0.055658627087198514,0.001601708489054992
154,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09521267129382452,0.9925788497217068,62.875,1,32,0.055658627087198514,0.001601708489054992
